ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber:1|PlanID:1|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id:1
H1537|837|3090|04019|AZ|Pima|0|376007|H1537 - 837|H1537|837|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2012|1330|H1537 - 837
H1537|838|3090|04019|AZ|Pima|0|379266|H1537 - 838|H1537|838|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2012|1331|H1537 - 838
H1537|839|3090|04019|AZ|Pima|0|382525|H1537 - 839|H1537|839|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2012|1332|H1537 - 839
H1537|840|3090|04019|AZ|Pima|0|385784|H1537 - 840|H1537|840|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2012|1333|H1537 - 840
H1537|841|3090|04019|AZ|Pima|0|389043|H1537 - 841|H1537|841|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2012|1334|H1537 - 841
H1537|842|3090|04019|AZ|Pima|0|392302|H1537 - 842|H1537|842|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2012|1335|H1537 - 842
H1607|809|3090|04019|AZ|Pima|0|395934|H1607 - 809|H1607|809|Local CCP|Local PPO|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1342|H1607 - 809
H1607|811|3090|04019|AZ|Pima|0|399193|H1607 - 811|H1607|811|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1343|H1607 - 811
H1607|812|3090|04019|AZ|Pima|0|402452|H1607 - 812|H1607|812|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1344|H1607 - 812
H1607|813|3090|04019|AZ|Pima|0|405711|H1607 - 813|H1607|813|Local CCP|Local PPO|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1345|H1607 - 813
H1607|815|3090|04019|AZ|Pima|0|408970|H1607 - 815|H1607|815|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1346|H1607 - 815
H1607|816|3090|04019|AZ|Pima|0|412229|H1607 - 816|H1607|816|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1347|H1607 - 816
H1607|817|3090|04019|AZ|Pima|0|415488|H1607 - 817|H1607|817|Local CCP|Local PPO|Yes|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1348|H1607 - 817
H1607|819|3090|04019|AZ|Pima|0|418747|H1607 - 819|H1607|819|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1349|H1607 - 819
H1607|820|3090|04019|AZ|Pima|0|422006|H1607 - 820|H1607|820|Local CCP|Local PPO|No|No|Yes|ANTHEM INSURANCE COMPANIES, INC.|Anthem Blue Cross and Blue Shield|Anthem Medicare Preferred (PPO)|Anthem Inc.|08/01/2005|1350|H1607 - 820
H1608|801|3090|04019|AZ|Pima|0|426626|H1608 - 801|H1608|801|Local CCP|Local PPO|No|No|Yes|COVENTRY HEALTH AND LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|07/01/2005|1384|H1608 - 801
H1608|802|3090|04019|AZ|Pima|0|429767|H1608 - 802|H1608|802|Local CCP|Local PPO|Yes|No|Yes|COVENTRY HEALTH AND LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan w/Rx (PPO)|CVS Health Corporation|07/01/2005|1385|H1608 - 802
H1609|801|3090|04019|AZ|Pima|0|433870|H1609 - 801|H1609|801|Local CCP|HMO/HMOPOS|No|No|Yes|AETNA HEALTH INC. (FL)|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|07/01/2005|1424|H1609 - 801
H1609|807|3090|04019|AZ|Pima|0|437011|H1609 - 807|H1609|807|Local CCP|HMO/HMOPOS|Yes|No|Yes|AETNA HEALTH INC. (FL)|Aetna Medicare|Aetna Medicare w/Rx Plan (HMO)|CVS Health Corporation|07/01/2005|1425|H1609 - 807
H1666|801|3090|04019|AZ|Pima|0|441510|H1666 - 801|H1666|801|Local CCP|Local PPO|Yes|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of NM, TX|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2013|1466|H1666 - 801
H1666|803|3090|04019|AZ|Pima|0|444753|H1666 - 803|H1666|803|Local CCP|Local PPO|Yes|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of NM, TX|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2013|1467|H1666 - 803
H1666|805|3090|04019|AZ|Pima|0|447996|H1666 - 805|H1666|805|Local CCP|Local PPO|No|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of NM, TX|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2013|1468|H1666 - 805
H1666|807|3090|04019|AZ|Pima|0|451239|H1666 - 807|H1666|807|Local CCP|Local PPO|Yes|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of NM, TX|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2013|1469|H1666 - 807
H1666|808|3090|04019|AZ|Pima|0|454482|H1666 - 808|H1666|808|Local CCP|Local PPO|No|No|Yes|HCSC INSURANCE SERVICES COMPANY|Blue Cross and Blue Shield of NM, TX|Blue Cross Group Medicare Advantage Plan (PPO)|Health Care Service Corporation|01/01/2013|1470|H1666 - 808
H1692|801|3090|04019|AZ|Pima|0|457992|H1692 - 801|H1692|801|Local CCP|HMO/HMOPOS|No|No|Yes|COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|01/01/2014|1476|H1692 - 801
H1692|802|3090|04019|AZ|Pima|0|461133|H1692 - 802|H1692|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.|Aetna Medicare|Aetna Medicare Plan w/Rx (HMO)|CVS Health Corporation|01/01/2014|1477|H1692 - 802
H1737|801|3090|04019|AZ|Pima|0|464687|H1737 - 801|H1737|801|Local CCP|HMO/HMOPOS|No|No|Yes|HEALTH ALLIANCE - MIDWEST, INC.|Health Alliance Medicare|Medicare Employer HMO (HMO)|The Carle Foundation|01/01/2014|1491|H1737 - 801
H1737|802|3090|04019|AZ|Pima|0|467828|H1737 - 802|H1737|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|HEALTH ALLIANCE - MIDWEST, INC.|Health Alliance Medicare|Medicare Employer HMO Rx (HMO)|The Carle Foundation|01/01/2014|1492|H1737 - 802
H1737|803|3090|04019|AZ|Pima|0|470969|H1737 - 803|H1737|803|Local CCP|HMO/HMOPOS|Yes|No|Yes|HEALTH ALLIANCE - MIDWEST, INC.|Health Alliance Medicare|Medicare Employer HMO Rx  - non calendar year (HMO)|The Carle Foundation|01/01/2014|1493|H1737 - 803
H1822|801|3090|04019|AZ|Pima|0|474402|H1822 - 801|H1822|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|SCAN DESERT HEALTH PLAN, INC.|SCAN Desert Health Plan|SCAN Retiree Group (HMO)|SCAN Group|01/01/2022|1514|H1822 - 801
H1822|802|3090|04019|AZ|Pima|0|474405|H1822 - 802|H1822|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|SCAN DESERT HEALTH PLAN, INC.|SCAN Desert Health Plan|SCAN Retiree Group (HMO)|SCAN Group|01/01/2022|1515|H1822 - 802
H1961|801|3090|04019|AZ|Pima|0|481477|H1961 - 801|H1961|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|PEOPLES HEALTH, INC.|Peoples Health|Peoples Health Group Medicare (HMO-POS)|UnitedHealth Group, Inc.|07/01/1997|1589|H1961 - 801
H1961|802|3090|04019|AZ|Pima|0|484720|H1961 - 802|H1961|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|PEOPLES HEALTH, INC.|Peoples Health|Peoples Health Group Medicare (HMO-POS)|UnitedHealth Group, Inc.|07/01/1997|1590|H1961 - 802
H1961|803|3090|04019|AZ|Pima|0|487963|H1961 - 803|H1961|803|Local CCP|HMO/HMOPOS|Yes|No|Yes|PEOPLES HEALTH, INC.|Peoples Health|Peoples Health Group Medicare (HMO)|UnitedHealth Group, Inc.|07/01/1997|1591|H1961 - 803
H1961|804|3090|04019|AZ|Pima|0|491206|H1961 - 804|H1961|804|Local CCP|HMO/HMOPOS|Yes|No|Yes|PEOPLES HEALTH, INC.|Peoples Health|Peoples Health Group Medicare (HMO)|UnitedHealth Group, Inc.|07/01/1997|1592|H1961 - 804
H2001|818|3090|04019|AZ|Pima|0|501652|H2001 - 818|H2001|818|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1632|H2001 - 818
H2001|820|3090|04019|AZ|Pima|0|508170|H2001 - 820|H2001|820|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1634|H2001 - 820
H2001|821|3090|04019|AZ|Pima|0|511429|H2001 - 821|H2001|821|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1635|H2001 - 821
H2001|822|3090|04019|AZ|Pima|0|514657|H2001 - 822|H2001|822|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1636|H2001 - 822
H2001|823|3090|04019|AZ|Pima|0|517256|H2001 - 823|H2001|823|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1637|H2001 - 823
H2001|824|3090|04019|AZ|Pima|0|519855|H2001 - 824|H2001|824|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1638|H2001 - 824
H2001|827|3090|04019|AZ|Pima|0|523217|H2001 - 827|H2001|827|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1641|H2001 - 827
H2001|828|3090|04019|AZ|Pima|0|526476|H2001 - 828|H2001|828|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1642|H2001 - 828
H2001|829|3090|04019|AZ|Pima|0|529735|H2001 - 829|H2001|829|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1643|H2001 - 829
H2001|830|3090|04019|AZ|Pima|0|532994|H2001 - 830|H2001|830|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1644|H2001 - 830
H2001|831|3090|04019|AZ|Pima|0|536253|H2001 - 831|H2001|831|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1645|H2001 - 831
H2001|832|3090|04019|AZ|Pima|0|539512|H2001 - 832|H2001|832|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1646|H2001 - 832
H2001|833|3090|04019|AZ|Pima|0|542771|H2001 - 833|H2001|833|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1647|H2001 - 833
H2001|834|3090|04019|AZ|Pima|0|546030|H2001 - 834|H2001|834|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1648|H2001 - 834
H2001|835|3090|04019|AZ|Pima|0|549289|H2001 - 835|H2001|835|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1649|H2001 - 835
H2001|839|3090|04019|AZ|Pima|0|562329|H2001 - 839|H2001|839|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1653|H2001 - 839
H2001|841|3090|04019|AZ|Pima|0|568847|H2001 - 841|H2001|841|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1655|H2001 - 841
H2001|842|3090|04019|AZ|Pima|0|572106|H2001 - 842|H2001|842|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1656|H2001 - 842
H2001|843|3090|04019|AZ|Pima|0|575365|H2001 - 843|H2001|843|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1657|H2001 - 843
H2001|844|3090|04019|AZ|Pima|0|578624|H2001 - 844|H2001|844|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1658|H2001 - 844
H2001|845|3090|04019|AZ|Pima|0|581883|H2001 - 845|H2001|845|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1659|H2001 - 845
H2001|846|3090|04019|AZ|Pima|0|585142|H2001 - 846|H2001|846|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1660|H2001 - 846
H2001|848|3090|04019|AZ|Pima|0|591660|H2001 - 848|H2001|848|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1662|H2001 - 848
H2001|849|3090|04019|AZ|Pima|0|594919|H2001 - 849|H2001|849|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1663|H2001 - 849
H2001|850|3090|04019|AZ|Pima|0|598178|H2001 - 850|H2001|850|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1664|H2001 - 850
H2001|851|3090|04019|AZ|Pima|0|601437|H2001 - 851|H2001|851|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1665|H2001 - 851
H2001|852|3090|04019|AZ|Pima|0|604696|H2001 - 852|H2001|852|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1666|H2001 - 852
H2001|854|3090|04019|AZ|Pima|0|611214|H2001 - 854|H2001|854|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1668|H2001 - 854
H2001|855|3090|04019|AZ|Pima|0|614473|H2001 - 855|H2001|855|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1669|H2001 - 855
H2001|856|3090|04019|AZ|Pima|0|617732|H2001 - 856|H2001|856|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1670|H2001 - 856
H2001|859|3090|04019|AZ|Pima|0|627510|H2001 - 859|H2001|859|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1673|H2001 - 859
H2001|860|3090|04019|AZ|Pima|0|630769|H2001 - 860|H2001|860|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1674|H2001 - 860
H2001|861|3090|04019|AZ|Pima|0|634028|H2001 - 861|H2001|861|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1675|H2001 - 861
H2001|863|3090|04019|AZ|Pima|0|640546|H2001 - 863|H2001|863|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1677|H2001 - 863
H2001|864|3090|04019|AZ|Pima|0|643805|H2001 - 864|H2001|864|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1678|H2001 - 864
H2001|865|3090|04019|AZ|Pima|0|647064|H2001 - 865|H2001|865|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1679|H2001 - 865
H2001|866|3090|04019|AZ|Pima|0|650323|H2001 - 866|H2001|866|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1680|H2001 - 866
H2001|867|3090|04019|AZ|Pima|0|653582|H2001 - 867|H2001|867|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1681|H2001 - 867
H2001|868|3090|04019|AZ|Pima|0|656841|H2001 - 868|H2001|868|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1682|H2001 - 868
H2001|869|3090|04019|AZ|Pima|0|660100|H2001 - 869|H2001|869|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1683|H2001 - 869
H2001|870|3090|04019|AZ|Pima|0|663359|H2001 - 870|H2001|870|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1684|H2001 - 870
H2001|871|3090|04019|AZ|Pima|0|666618|H2001 - 871|H2001|871|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1685|H2001 - 871
H2001|872|3090|04019|AZ|Pima|0|669877|H2001 - 872|H2001|872|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1686|H2001 - 872
H2001|873|3090|04019|AZ|Pima|0|673136|H2001 - 873|H2001|873|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1687|H2001 - 873
H2056|801|3090|04019|AZ|Pima|0|678728|H2056 - 801|H2056|801|Local CCP|HMO/HMOPOS|No|No|Yes|AETNA BETTER HEALTH OF MICHIGAN INC.|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|01/01/2020|1718|H2056 - 801
H2056|802|3090|04019|AZ|Pima|0|681869|H2056 - 802|H2056|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|AETNA BETTER HEALTH OF MICHIGAN INC.|Aetna Medicare|Aetna Medicare Plan w/Rx (HMO)|CVS Health Corporation|01/01/2020|1719|H2056 - 802
H2171|801|3090|04019|AZ|Pima|0|685807|H2171 - 801|H2171|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|CARE N' CARE INSURANCE COMPANY, INC.|Care N' Care Insurance Company|Care N' Care Classic CY - MAPD (HMO)|Texas Health Resources|01/01/2015|1758|H2171 - 801
H2171|802|3090|04019|AZ|Pima|0|688948|H2171 - 802|H2171|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|CARE N' CARE INSURANCE COMPANY, INC.|Care N' Care Insurance Company|Care N' Care Classic NCY - MAPD (HMO)|Texas Health Resources|01/01/2015|1759|H2171 - 802
H2171|803|3090|04019|AZ|Pima|0|692089|H2171 - 803|H2171|803|Local CCP|HMO/HMOPOS|No|No|Yes|CARE N' CARE INSURANCE COMPANY, INC.|Care N' Care Insurance Company|Care N' Care Classic CY - MA-Only (HMO)|Texas Health Resources|01/01/2015|1760|H2171 - 803
H2171|804|3090|04019|AZ|Pima|0|695230|H2171 - 804|H2171|804|Local CCP|HMO/HMOPOS|No|No|Yes|CARE N' CARE INSURANCE COMPANY, INC.|Care N' Care Insurance Company|Care N' Care Classic NCY - MA-Only (HMO)|Texas Health Resources|01/01/2015|1761|H2171 - 804
H2228|805|3090|04019|AZ|Pima|0|700533|H2228 - 805|H2228|805|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1864|H2228 - 805
H2228|807|3090|04019|AZ|Pima|0|703792|H2228 - 807|H2228|807|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1865|H2228 - 807
H2228|808|3090|04019|AZ|Pima|0|707051|H2228 - 808|H2228|808|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1866|H2228 - 808
