ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber:1|PlanID:1|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id:1
H2228|818|45940|48453|TX|Travis|0|742285|H2228 - 818|H2228|818|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1876|H2228 - 818
H2228|819|45940|48453|TX|Travis|0|745544|H2228 - 819|H2228|819|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1877|H2228 - 819
H2228|820|45940|48453|TX|Travis|0|748803|H2228 - 820|H2228|820|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1878|H2228 - 820
H2228|821|45940|48453|TX|Travis|0|751581|H2228 - 821|H2228|821|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1879|H2228 - 821
H2228|822|45940|48453|TX|Travis|0|754180|H2228 - 822|H2228|822|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1880|H2228 - 822
H2228|823|45940|48453|TX|Travis|0|756779|H2228 - 823|H2228|823|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1881|H2228 - 823
H2228|826|45940|48453|TX|Travis|0|760584|H2228 - 826|H2228|826|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1884|H2228 - 826
H2228|827|45940|48453|TX|Travis|0|763843|H2228 - 827|H2228|827|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1885|H2228 - 827
H2228|828|45940|48453|TX|Travis|0|767102|H2228 - 828|H2228|828|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1886|H2228 - 828
H2228|829|45940|48453|TX|Travis|0|770361|H2228 - 829|H2228|829|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1887|H2228 - 829
H2228|830|45940|48453|TX|Travis|0|773620|H2228 - 830|H2228|830|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1888|H2228 - 830
H2228|831|45940|48453|TX|Travis|0|776879|H2228 - 831|H2228|831|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1889|H2228 - 831
H2228|832|45940|48453|TX|Travis|0|780138|H2228 - 832|H2228|832|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1890|H2228 - 832
H2228|833|45940|48453|TX|Travis|0|783397|H2228 - 833|H2228|833|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1891|H2228 - 833
H2228|834|45940|48453|TX|Travis|0|786656|H2228 - 834|H2228|834|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1892|H2228 - 834
H2228|835|45940|48453|TX|Travis|0|789915|H2228 - 835|H2228|835|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1893|H2228 - 835
H2228|836|45940|48453|TX|Travis|0|793174|H2228 - 836|H2228|836|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1894|H2228 - 836
H2228|837|45940|48453|TX|Travis|0|796433|H2228 - 837|H2228|837|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1895|H2228 - 837
H2228|838|45940|48453|TX|Travis|0|799692|H2228 - 838|H2228|838|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|01/01/2005|1896|H2228 - 838
H2230|801|45940|48453|TX|Travis|0|803079|H2230 - 801|H2230|801|Local CCP|Local PPO|Yes|No|Yes|BCBS  OF MASSACHUSETTS HMO BLUE, INC.|Blue Cross Blue Shield of Massachusetts|Medicare PPO Blue (PPO)|Blue Cross and Blue Shield of Massachusetts, Inc.|09/01/2005|1900|H2230 - 801
H2230|809|45940|48453|TX|Travis|0|806220|H2230 - 809|H2230|809|Local CCP|Local PPO|No|No|Yes|BCBS  OF MASSACHUSETTS HMO BLUE, INC.|Blue Cross Blue Shield of Massachusetts|Medicare PPO Blue (PPO)|Blue Cross and Blue Shield of Massachusetts, Inc.|09/01/2005|1901|H2230 - 809
H2320|802|45940|48453|TX|Travis|0|810352|H2320 - 802|H2320|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|PRIORITY HEALTH|Priority Health Medicare|PriorityMedicare EG Non-Calendar Year (HMO-POS)|BHSH|07/01/2005|1960|H2320 - 802
H2320|803|45940|48453|TX|Travis|0|813493|H2320 - 803|H2320|803|Local CCP|HMO/HMOPOS|Yes|No|Yes|PRIORITY HEALTH|Priority Health Medicare|PriorityMedicare EG Calendar Year (HMO-POS)|BHSH|07/01/2005|1961|H2320 - 803
H2320|812|45940|48453|TX|Travis|0|816966|H2320 - 812|H2320|812|Local CCP|HMO/HMOPOS|No|No|Yes|PRIORITY HEALTH|Priority Health Medicare|PriorityMedicare HMO-POS No RX EGWP Calendar (HMO-POS)|BHSH|07/01/2005|1966|H2320 - 812
H2320|813|45940|48453|TX|Travis|0|820107|H2320 - 813|H2320|813|Local CCP|HMO/HMOPOS|No|No|Yes|PRIORITY HEALTH|Priority Health Medicare|PriorityMedicare HMO-POS No RX EGWP Non-Calendar (HMO-POS)|BHSH|07/01/2005|1967|H2320 - 813
H2322|801|45940|48453|TX|Travis|0|823377|H2322 - 801|H2322|801|Local CCP|Local PPO|No|No|Yes|ALLIANCE HEALTH AND LIFE INSURANCE COMPANY|HAP Senior Plus (PPO)|HAP Senior Plus Group (PPO)|Henry Ford Health System|08/01/2005|1972|H2322 - 801
H2322|803|45940|48453|TX|Travis|0|826596|H2322 - 803|H2322|803|Local CCP|Local PPO|Yes|No|Yes|ALLIANCE HEALTH AND LIFE INSURANCE COMPANY|HAP Senior Plus (PPO)|HAP Senior Plus Group (PPO)|Henry Ford Health System|08/01/2005|1973|H2322 - 803
H2354|801|45940|48453|TX|Travis|0|830030|H2354 - 801|H2354|801|Local CCP|HMO/HMOPOS|No|No|Yes|HEALTH ALLIANCE PLAN OF MICHIGAN|HAP Senior Plus|HAP Senior Plus Group (HMO)|Henry Ford Health System|04/01/1997|1985|H2354 - 801
H2354|802|45940|48453|TX|Travis|0|833249|H2354 - 802|H2354|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|HEALTH ALLIANCE PLAN OF MICHIGAN|HAP Senior Plus|HAP Senior Plus Group (HMO-POS)|Henry Ford Health System|04/01/1997|1986|H2354 - 802
H2406|805|45940|48453|TX|Travis|0|837073|H2406 - 805|H2406|805|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2011|H2406 - 805
H2406|806|45940|48453|TX|Travis|0|840332|H2406 - 806|H2406|806|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2012|H2406 - 806
H2406|807|45940|48453|TX|Travis|0|843591|H2406 - 807|H2406|807|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2013|H2406 - 807
H2406|808|45940|48453|TX|Travis|0|846850|H2406 - 808|H2406|808|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2014|H2406 - 808
H2406|809|45940|48453|TX|Travis|0|850109|H2406 - 809|H2406|809|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2015|H2406 - 809
H2406|810|45940|48453|TX|Travis|0|853368|H2406 - 810|H2406|810|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2016|H2406 - 810
H2406|811|45940|48453|TX|Travis|0|856627|H2406 - 811|H2406|811|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2017|H2406 - 811
H2406|812|45940|48453|TX|Travis|0|859886|H2406 - 812|H2406|812|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2018|H2406 - 812
H2406|813|45940|48453|TX|Travis|0|863145|H2406 - 813|H2406|813|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2019|H2406 - 813
H2406|814|45940|48453|TX|Travis|0|866404|H2406 - 814|H2406|814|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2020|H2406 - 814
H2406|815|45940|48453|TX|Travis|0|869663|H2406 - 815|H2406|815|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2021|H2406 - 815
H2406|816|45940|48453|TX|Travis|0|872922|H2406 - 816|H2406|816|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2022|H2406 - 816
H2406|817|45940|48453|TX|Travis|0|876181|H2406 - 817|H2406|817|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2023|H2406 - 817
H2406|818|45940|48453|TX|Travis|0|879440|H2406 - 818|H2406|818|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2024|H2406 - 818
H2406|819|45940|48453|TX|Travis|0|882699|H2406 - 819|H2406|819|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2025|H2406 - 819
H2406|820|45940|48453|TX|Travis|0|885477|H2406 - 820|H2406|820|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2026|H2406 - 820
H2406|821|45940|48453|TX|Travis|0|888076|H2406 - 821|H2406|821|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2027|H2406 - 821
H2406|822|45940|48453|TX|Travis|0|890675|H2406 - 822|H2406|822|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2028|H2406 - 822
H2406|825|45940|48453|TX|Travis|0|894480|H2406 - 825|H2406|825|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2031|H2406 - 825
H2406|826|45940|48453|TX|Travis|0|897739|H2406 - 826|H2406|826|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2032|H2406 - 826
H2406|827|45940|48453|TX|Travis|0|900998|H2406 - 827|H2406|827|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2033|H2406 - 827
H2406|828|45940|48453|TX|Travis|0|904257|H2406 - 828|H2406|828|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2034|H2406 - 828
H2406|829|45940|48453|TX|Travis|0|907516|H2406 - 829|H2406|829|Local CCP|Local PPO|No|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2035|H2406 - 829
H2406|830|45940|48453|TX|Travis|0|910775|H2406 - 830|H2406|830|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2036|H2406 - 830
H2406|831|45940|48453|TX|Travis|0|914034|H2406 - 831|H2406|831|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2037|H2406 - 831
H2406|832|45940|48453|TX|Travis|0|917293|H2406 - 832|H2406|832|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2038|H2406 - 832
H2406|833|45940|48453|TX|Travis|0|920552|H2406 - 833|H2406|833|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2039|H2406 - 833
H2406|834|45940|48453|TX|Travis|0|923811|H2406 - 834|H2406|834|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2040|H2406 - 834
H2406|835|45940|48453|TX|Travis|0|927070|H2406 - 835|H2406|835|Local CCP|Local PPO|Yes|No|Yes|CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|06/01/2001|2041|H2406 - 835
H2450|801|45940|48453|TX|Travis|0|929898|H2450 - 801|H2450|801|1876 Cost|1876 Cost|Yes|No|Yes|MEDICA INSURANCE COMPANY|Medica|Medica Group Prime Solution w/Rx (Cost)|Medica Holding Company|01/01/1990|2072|H2450 - 801
H2563|801|45940|48453|TX|Travis|0|935846|H2563 - 801|H2563|801|Local CCP|HMO/HMOPOS|Yes|No|Yes|OPTIMA HEALTH PLAN|Optima Medicare|Optima Medicare - MAPD Calendar Year (HMO)|Sentara Health Care (SHC)|01/01/2014|2145|H2563 - 801
H2563|802|45940|48453|TX|Travis|0|938987|H2563 - 802|H2563|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|OPTIMA HEALTH PLAN|Optima Medicare|Optima Medicare - MAPD Non-Calendar Year (HMO)|Sentara Health Care (SHC)|01/01/2014|2146|H2563 - 802
H2563|803|45940|48453|TX|Travis|0|942128|H2563 - 803|H2563|803|Local CCP|HMO/HMOPOS|No|No|Yes|OPTIMA HEALTH PLAN|Optima Medicare|Optima Medicare - MA Only Calendar Year (HMO)|Sentara Health Care (SHC)|01/01/2014|2147|H2563 - 803
H2563|804|45940|48453|TX|Travis|0|945269|H2563 - 804|H2563|804|Local CCP|HMO/HMOPOS|No|No|Yes|OPTIMA HEALTH PLAN|Optima Medicare|Optima Medicare - MA Only Non-Calendar Year (HMO)|Sentara Health Care (SHC)|01/01/2014|2148|H2563 - 804
H2591|801|45940|48453|TX|Travis|0|949733|H2591 - 801|H2591|801|Local CCP|Local PPO|No|No|Yes|HEALTH ALLIANCE - MIDWEST, INC.|Health Alliance Medicare|Medicare Employer PPO (PPO)|The Carle Foundation|01/01/2015|2177|H2591 - 801
H2591|802|45940|48453|TX|Travis|0|952874|H2591 - 802|H2591|802|Local CCP|Local PPO|Yes|No|Yes|HEALTH ALLIANCE - MIDWEST, INC.|Health Alliance Medicare|Health Alliance Medicare (PPO)|The Carle Foundation|01/01/2015|2178|H2591 - 802
H2591|803|45940|48453|TX|Travis|0|956015|H2591 - 803|H2591|803|Local CCP|Local PPO|Yes|No|Yes|HEALTH ALLIANCE - MIDWEST, INC.|Health Alliance Medicare|Health Alliance Medicare (non calendar) (PPO)|The Carle Foundation|01/01/2015|2179|H2591 - 803
H2663|805|45940|48453|TX|Travis|0|960706|H2663 - 805|H2663|805|Local CCP|HMO/HMOPOS|No|No|Yes|COVENTRY HEALTH CARE OF MISSOURI, INC|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|11/01/1995|2235|H2663 - 805
H2663|810|45940|48453|TX|Travis|0|963847|H2663 - 810|H2663|810|Local CCP|HMO/HMOPOS|Yes|No|Yes|COVENTRY HEALTH CARE OF MISSOURI, INC|Aetna Medicare|Aetna Medicare Plan w/Rx (HMO)|CVS Health Corporation|11/01/1995|2236|H2663 - 810
H2737|801|45940|48453|TX|Travis|0|967275|H2737 - 801|H2737|801|Local CCP|Local PPO|Yes|No|Yes|HEALTH NEW ENGLAND, INC.|Health New England Medicare Advantage Plans|Health New England Compass Group Rx (PPO)|Baystate Health, Inc.|01/01/2022|2251|H2737 - 801
H2737|802|45940|48453|TX|Travis|0|970535|H2737 - 802|H2737|802|Local CCP|Local PPO|No|No|Yes|HEALTH NEW ENGLAND, INC.|Health New England Medicare Advantage Plans|Health New England Compass Group Calendar (PPO)|Baystate Health, Inc.|01/01/2022|2252|H2737 - 802
H2737|803|45940|48453|TX|Travis|0|973795|H2737 - 803|H2737|803|Local CCP|Local PPO|Yes|No|Yes|HEALTH NEW ENGLAND, INC.|Health New England Medicare Advantage Plans|Health New England Compass Group Non-Calendar (PPO)|Baystate Health, Inc.|01/01/2022|2253|H2737 - 803
H2775|801|45940|48453|TX|Travis|0|977670|H2775 - 801|H2775|801|Local CCP|Local PPO|No|No|Yes|AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY|Wellcare|Today's Options PPO - MA Group Plan (PPO)|Centene Corporation|01/01/2009|2269|H2775 - 801
H2775|802|45940|48453|TX|Travis|0|980913|H2775 - 802|H2775|802|Local CCP|Local PPO|Yes|No|Yes|AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY|Wellcare|Today's Options PPO - MAPD Group Plan (PPO)|Centene Corporation|01/01/2009|2270|H2775 - 802
H2775|803|45940|48453|TX|Travis|0|984156|H2775 - 803|H2775|803|Local CCP|Local PPO|Yes|No|Yes|AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY|Wellcare|Today's Options PPO - MAPD Group Plan - NCY (PPO)|Centene Corporation|01/01/2009|2271|H2775 - 803
H2816|801|45940|48453|TX|Travis|0|988982|H2816 - 801|H2816|801|PFFS|PFFS|No|No|Yes|AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY|Wellcare|Today's Options PFFS - MA Group Plan (PFFS)|Centene Corporation|01/01/2011|2324|H2816 - 801
H2816|802|45940|48453|TX|Travis|0|992123|H2816 - 802|H2816|802|PFFS|PFFS|Yes|No|Yes|AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY|Wellcare|Today's Options PFFS - MAPD Group Plan (PFFS)|Centene Corporation|01/01/2011|2325|H2816 - 802
H2816|803|45940|48453|TX|Travis|0|995264|H2816 - 803|H2816|803|PFFS|PFFS|Yes|No|Yes|AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY|Wellcare|Today's Options PFFS - MAPD Group Plan - NCY (PFFS)|Centene Corporation|01/01/2011|2326|H2816 - 803
H2836|801|45940|48453|TX|Travis|0|998603|H2836 - 801|H2836|801|Local CCP|Local PPO|Yes|No|Yes|ANTHEM HEALTH PLANS, INC.|Anthem Blue Cross and Blue Shield|Anthem MediBlue Preferred (PPO)|Anthem Inc.|01/01/2012|2338|H2836 - 801
H3146|801|45940|48453|TX|Travis|0|1004142|H3146 - 801|H3146|801|Local CCP|HMO/HMOPOS|No|No|Yes|AETNA BETTER HEALTH INC. (GA)|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|01/01/2020|2453|H3146 - 801
H3146|802|45940|48453|TX|Travis|0|1007283|H3146 - 802|H3146|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|AETNA BETTER HEALTH INC. (GA)|Aetna Medicare|Aetna Medicare Plan w/Rx (HMO)|CVS Health Corporation|01/01/2020|2454|H3146 - 802
H3152|801|45940|48453|TX|Travis|0|1010655|H3152 - 801|H3152|801|Local CCP|HMO/HMOPOS|No|No|Yes|AETNA HEALTH INC. (NJ)|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|09/01/1993|2463|H3152 - 801
H3152|804|45940|48453|TX|Travis|0|1013797|H3152 - 804|H3152|804|Local CCP|HMO/HMOPOS|Yes|No|Yes|AETNA HEALTH INC. (NJ)|Aetna Medicare|Aetna Medicare Plan w/Rx (HMO)|CVS Health Corporation|09/01/1993|2464|H3152 - 804
H3154|811|45940|48453|TX|Travis|0|1017051|H3154 - 811|H3154|811|Local CCP|HMO/HMOPOS|No|No|Yes|HORIZON INSURANCE COMPANY|Horizon Blue Cross Blue Shield of New Jersey|Horizon Medicare Advantage HMO10 (HMO)|Horizon Healthcare Services, Inc.|01/01/1996|2473|H3154 - 811
H3192|801|45940|48453|TX|Travis|0|1020604|H3192 - 801|H3192|801|Local CCP|HMO/HMOPOS|No|No|Yes|AETNA HEALTH OF MICHIGAN INC.|Aetna Medicare|Aetna Medicare Plan (HMO)|CVS Health Corporation|01/01/2020|2487|H3192 - 801
H3192|802|45940|48453|TX|Travis|0|1023745|H3192 - 802|H3192|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|AETNA HEALTH OF MICHIGAN INC.|Aetna Medicare|Aetna Medicare Plan w/Rx (HMO)|CVS Health Corporation|01/01/2020|2488|H3192 - 802
H3219|801|45940|48453|TX|Travis|0|1027532|H3219 - 801|H3219|801|Local CCP|Local PPO|No|No|Yes|ALLINA HEALTH AND AETNA INSURANCE COMPANY|Allina Health Aetna Medicare|Allina Health Aetna Medicare Plan (PPO)|Allina Health and Aetna Insurance Holding Company|01/01/2019|2511|H3219 - 801
H3219|802|45940|48453|TX|Travis|0|1030673|H3219 - 802|H3219|802|Local CCP|Local PPO|Yes|No|Yes|ALLINA HEALTH AND AETNA INSURANCE COMPANY|Allina Health Aetna Medicare|Allina Health Aetna Medicare w/Rx Plan (PPO)|Allina Health and Aetna Insurance Holding Company|01/01/2019|2512|H3219 - 802
H3288|801|45940|48453|TX|Travis|0|1036755|H3288 - 801|H3288|801|Local CCP|Local PPO|No|No|Yes|AETNA HEALTH AND LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2020|2595|H3288 - 801
