ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber|PlanID|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id
S8841|803|5400|06059|CA|Orange|7787|3490140|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5660|802|36250|39049|OH|Franklin|7761|2960579|S5660 - 802|S5660|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7384|S5660 - 802
S5660|802|36170|39035|OH|Cuyahoga|7752|2960572|S5660 - 802|S5660|802|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7384|S5660 - 802
S4802|158|16760|19153|IA|Polk|7747|2730953|S4802 - 158|S4802|158|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7058|S4802 - 158
S5921|380|3060|04013|AZ|Maricopa|7747|3330374|S5921 - 380|S5921|380|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7680|S5921 - 380
S4802|158|28270|31055|NE|Douglas|7732|2731169|S4802 - 158|S4802|158|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7058|S4802 - 158
S8841|803|31220|34015|NJ|Gloucester|7718|3491706|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5660|801|42090|45019|SC|Charleston|7712|2957623|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
S5884|190|10490|12099|FL|Palm Beach|7702|3293264|S5884 - 190|S5884|190|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7614|S5884 - 190
S5601|801|21150|24031|MD|Montgomery|7691|2851208|S5601 - 801|S5601|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group (PDP)|CVS Health Corporation|01/01/2006|7251|S5601 - 801
H5521|801|31370|34039|NJ|Union|7686|1867934|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5921|376|5400|06059|CA|Orange|7681|3329981|S5921 - 376|S5921|376|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7676|S5921 - 376
S5617|108|45610|48201|TX|Harris|7675|2920200|S5617 - 108|S5617|108|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Secure Rx (PDP)|CIGNA|01/01/2006|7282|S5617 - 108
H5521|802|33590|36081|NY|Queens|7669|1871282|H5521 - 802|H5521|802|Local CCP|Local PPO|Yes|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan w/Rx (PPO)|CVS Health Corporation|01/01/2006|4929|H5521 - 802
S5884|201|45610|48201|TX|Harris|7666|3297787|S5884 - 201|S5884|201|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7625|S5884 - 201
S5601|811|33620|36087|NY|Rockland|7649|2883670|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
H5521|157|7000|09001|CT|Fairfield|7628|1859593|H5521 - 157|H5521|157|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Elite Plan (PPO)|CVS Health Corporation|01/01/2006|4799|H5521 - 157
S5884|163|14141|17031|IL|Cook|7628|3286584|S5884 - 163|S5884|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Premier Rx Plan (PDP)|Humana Inc.|01/01/2006|7587|S5884 - 163
S5601|188|23620|26125|MI|Oakland|7624|2843014|S5601 - 188|S5601|188|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7228|S5601 - 188
H1019|120|10470|12095|FL|Orange|7573|228319|H1019 - 120|H1019|120|Local CCP|HMO/HMOPOS|Yes|No|No|CAREPLUS HEALTH PLANS, INC.|CarePlus Health Plans, Inc.|CareFree (HMO)|Humana Inc.|02/01/1998|827|H1019 - 120
H5216|805|14141|17031|IL|Cook|7531|1782120|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
S4802|141|39140|42017|PA|Bucks|7520|2725000|S4802 - 141|S4802|141|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7041|S4802 - 141
S5601|189|36170|39035|OH|Cuyahoga|7503|2843314|S5601 - 189|S5601|189|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7229|S5601 - 189
S4802|141|39210|42029|PA|Chester|7463|2725006|S4802 - 141|S4802|141|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7041|S4802 - 141
H5521|270|10280|12057|FL|Hillsborough|7424|1862799|H5521 - 270|H5521|270|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Premier Plus (PPO)|CVS Health Corporation|01/01/2006|4860|H5521 - 270
H5521|801|36490|39095|OH|Lucas|7407|1868231|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
H5050|801|50160|53033|WA|King|7401|1750552|H5050 - 801|H5050|801|Local CCP|HMO/HMOPOS|No|No|Yes|KAISER FOUNDATION HEALTH PLAN OF WASHINGTON|Kaiser Permanente|Kaiser Permanente Medicare Advantage Group [AB] (HMO)|Kaiser Foundation Health Plan, Inc.|01/01/1989|4038|H5050 - 801
S5921|382|33700|36103|NY|Suffolk|7395|3330860|S5921 - 382|S5921|382|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7682|S5921 - 382
H5521|801|36480|39093|OH|Lorain|7370|1868230|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S4802|220|14141|17031|IL|Cook|7363|2736558|S4802 - 220|S4802|220|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Medicare Rx Value Plus (PDP)|Centene Corporation|01/01/2006|7082|S4802 - 220
S4802|163|5530|06085|CA|Santa Clara|7346|2731971|S4802 - 163|S4802|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7063|S4802 - 163
S5601|205|50160|53033|WA|King|7333|2849260|S5601 - 205|S5601|205|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7245|S5601 - 205
S5884|211|5400|06059|CA|Orange|7323|3300376|S5884 - 211|S5884|211|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7635|S5884 - 211
S5660|801|45610|48201|TX|Harris|7322|2957922|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
S5601|811|33540|36071|NY|Orange|7318|2883662|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
S5884|146|3060|04013|AZ|Maricopa|7298|3281561|S5884 - 146|S5884|146|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7570|S5884 - 146
S5921|382|33400|36059|NY|Nassau|7298|3330838|S5921 - 382|S5921|382|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7682|S5921 - 382
S4802|150|18550|21111|KY|Jefferson|7288|2728086|S4802 - 150|S4802|150|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7050|S4802 - 150
H5521|801|36780|39153|OH|Summit|7262|1868260|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5601|197|45390|48113|TX|Dallas|7262|2846636|S5601 - 197|S5601|197|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7237|S5601 - 197
S5601|805|8020|10005|DE|Sussex|7237|2863019|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
S5884|211|5470|06073|CA|San Diego|7165|3300383|S5884 - 211|S5884|211|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7635|S5884 - 211
H1036|233|34910|37183|NC|Wake|7147|231930|H1036 - 233|H1036|233|Local CCP|HMO/HMOPOS|Yes|No|No|HUMANA MEDICAL PLAN, INC.|Humana|Humana Gold Plus H1036-233 (HMO)|Humana Inc.|02/01/1986|940|H1036 - 233
H0543|152|5470|06073|CA|San Diego|7120|98484|H0543 - 152|H0543|152|Local CCP|HMO/HMOPOS|Yes|No|No|UHC OF CALIFORNIA|UnitedHealthcare|AARP Medicare Advantage SecureHorizons Plan 4 (HMO)|UnitedHealth Group, Inc.|06/01/1985|367|H0543 - 152
S4802|151|14570|17097|IL|Lake|7087|2728405|S4802 - 151|S4802|151|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7051|S4802 - 151
H0524|806|5490|06077|CA|San Joaquin|7082|97924|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
S8841|803|31000|34001|NJ|Atlantic|7055|3491699|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S4802|163|5430|06065|CA|Riverside|7042|2731961|S4802 - 163|S4802|163|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7063|S4802 - 163
H5521|801|39280|42043|PA|Dauphin|7040|1868406|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
H2001|816|5480|06075|CA|San Francisco|7027|495241|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
H5938|802|10360|12073|FL|Leon|7022|2034101|H5938 - 802|H5938|802|Local CCP|HMO/HMOPOS|Yes|No|Yes|CAPITAL HEALTH PLAN|Capital Health Plan|Capital Health Plan Retiree Advantage (HMO)|Guidewell Mutual Holding Corporation|01/01/2006|5350|H5938 - 802
H2001|838|7040|09009|CT|New Haven|7010|559277|H2001 - 838|H2001|838|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1652|H2001 - 838
H5619|144|42220|45045|SC|Greenville|7006|2013507|H5619 - 144|H5619|144|Local CCP|HMO/HMOPOS|Yes|No|No|ARCADIAN HEALTH PLAN, INC.|Humana|Humana Gold Plus H5619-144 (HMO)|Humana Inc.|01/01/2007|5200|H5619 - 144
S5884|143|45390|48113|TX|Dallas|6975|3279804|S5884 - 143|S5884|143|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7567|S5884 - 143
S4802|157|17450|20091|KS|Johnson|6920|2730699|S4802 - 157|S4802|157|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7057|S4802 - 157
H1019|104|10280|12057|FL|Hillsborough|6918|228140|H1019 - 104|H1019|104|Local CCP|HMO/HMOPOS|Yes|No|No|CAREPLUS HEALTH PLANS, INC.|CarePlus Health Plans, Inc.|CareFree (HMO)|Humana Inc.|02/01/1998|811|H1019 - 104
S4802|134|3090|04019|AZ|Pima|6910|2724063|S4802 - 134|S4802|134|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7034|S4802 - 134
S5601|801|39280|42043|PA|Dauphin|6847|2852266|S5601 - 801|S5601|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group (PDP)|CVS Health Corporation|01/01/2006|7251|S5601 - 801
S5884|114|5060|06013|CA|Contra Costa|6816|3271530|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
S5601|807|12010|15001|HI|Hawaii|6813|2869665|S5601 - 807|S5601|807|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7257|S5601 - 807
S4802|143|34910|37183|NC|Wake|6808|2725731|S4802 - 143|S4802|143|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7043|S4802 - 143
S5884|168|45610|48201|TX|Harris|6798|3288580|S5884 - 168|S5884|168|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Premier Rx Plan (PDP)|Humana Inc.|01/01/2006|7592|S5884 - 168
S4802|137|7000|09001|CT|Fairfield|6792|2724400|S4802 - 137|S4802|137|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7037|S4802 - 137
S5660|806|33240|36029|NY|Erie|6761|2969864|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
S4802|235|5200|06037|CA|Los Angeles|6742|2740315|S4802 - 235|S4802|235|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Medicare Rx Value Plus (PDP)|Centene Corporation|01/01/2006|7097|S4802 - 235
E3014|801|39010|42003|PA|Allegheny|6731|5491|E3014 - 801|E3014|801|Employer/Union Only Direct Contract PDP|Employer/Union Only Direct Contract PDP|Yes|No|Yes|PSERS HOP PROGRAM|Pennsylvania Public School Employees Retirement Sy|PSERS Health Options Program (Employer PDP)|Commonwealth of PA Pub Schools Retirement System|01/01/2007|3|E3014 - 801
H5216|805|34590|37119|NC|Mecklenburg|6720|1783414|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
S4802|146|10510|12103|FL|Pinellas|6714|2726456|S4802 - 146|S4802|146|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7046|S4802 - 146
S5660|801|42220|45045|SC|Greenville|6671|2957636|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
S4802|138|33420|36061|NY|New York|6663|2724614|S4802 - 138|S4802|138|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7038|S4802 - 138
S5660|806|15470|18095|IN|Madison|6643|2968766|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
H5521|801|33800|36119|NY|Westchester|6630|1868028|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
H1036|199|10490|12099|FL|Palm Beach|6624|231416|H1036 - 199|H1036|199|Local CCP|HMO/HMOPOS|Yes|No|No|HUMANA MEDICAL PLAN, INC.|Humana|Humana Gold Plus H1036-199 (HMO)|Humana Inc.|02/01/1986|927|H1036 - 199
S5601|186|10350|12071|FL|Lee|6615|2841575|S5601 - 186|S5601|186|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7226|S5601 - 186
S4802|150|15440|18089|IN|Lake|6608|2727983|S4802 - 150|S4802|150|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7050|S4802 - 150
S4802|149|36310|39061|OH|Hamilton|6604|2727672|S4802 - 149|S4802|149|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7049|S4802 - 149
H5216|805|34400|37081|NC|Guilford|6601|1783395|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
H5521|120|33400|36059|NY|Nassau|6596|1858981|H5521 - 120|H5521|120|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Elite Plan (PPO)|CVS Health Corporation|01/01/2006|4781|H5521 - 120
S8841|803|31320|34031|NJ|Passaic|6585|3491714|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
S5820|833|45610|48201|TX|Harris|6580|3249396|S5820 - 833|S5820|833|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7531|S5820 - 833
H2354|801|23810|26163|MI|Wayne|6567|828593|H2354 - 801|H2354|801|Local CCP|HMO/HMOPOS|No|No|Yes|HEALTH ALLIANCE PLAN OF MICHIGAN|HAP Senior Plus|HAP Senior Plus Group (HMO)|Henry Ford Health System|04/01/1997|1985|H2354 - 801
S5921|348|22090|25017|MA|Middlesex|6547|3320392|S5921 - 348|S5921|348|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7648|S5921 - 348
H9572|802|23220|26045|MI|Eaton|6531|2484527|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S4802|140|21020|24005|MD|Baltimore|6520|2724836|S4802 - 140|S4802|140|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7040|S4802 - 140
H2001|816|11470|13121|GA|Fulton|6503|495464|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
H2001|816|5200|06037|CA|Los Angeles|6502|495221|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
H5521|801|31220|34015|NJ|Gloucester|6501|1867922|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
H5521|801|36310|39061|OH|Hamilton|6500|1868214|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
H2001|816|33520|36067|NY|Onondaga|6487|496879|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
H5521|170|34400|37081|NC|Guilford|6487|1860059|H5521 - 170|H5521|170|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Premier Plus Plan (PPO)|CVS Health Corporation|01/01/2006|4804|H5521 - 170
